תקרה 2022,שיעור 2022,שם יישוב,סמל היישוב
"171,000",12%,אבו סנאן,473
"196,080",12%,אבו קורינאת (יישוב),1342
"196,080",12%,אבו תלול,1375
"202,200",14%,אביבים,1115
"165,360",10%,אבירים,1220
"165,360",10%,אבן מנחם,1081
"134,760",7%,אבן שמואל,400
"196,080",12%,אבני איתן,4011
"196,080",12%,אבנת,3786
"246,120",20%,אבשלום,1311
"134,760",7%,אדורה,3759
"171,480",12%,אדמית,1068
"196,080",12%,אודם,4010
"246,120",20%,אוהד,1046
"196,080",12%,אום בטין,1358
"238,920",18%,אופקים,31
"196,080",12%,אור הגנוז,1294
"246,120",20%,אור הנר,67
"196,080",12%,אורטל,4013
"134,760",7%,אורים,403
"134,760",7%,אחוזם,821
"134,760",7%,אחיהוד,785
"246,120",20%,איבים,338
"134,760",7%,איילת השחר,77
"165,360",10%,אילון,294
"196,080",12%,אילות,1126
"134,760",7%,איתן,37
"196,080",12%,אל -רום,4003
"196,080",12%,אל סייד,1359
"196,080",12%,אלומות,330
"202,200",14%,אלוני הבשן,4017
"196,080",12%,אלי-עד,4002
"196,080",12%,אליפז,1248
"134,760",7%,אליפלט,730
"134,760",7%,אלמגור,1125
"165,360",10%,אלקוש,603
"134,760",7%,אמירים,1064
"134,760",7%,אמנון,1253
"134,760",7%,אמציה,23
"134,760",7%,אניעם,4012
"196,080",12%,אספר,3754
"196,080",12%,אפיק,4301
"196,080",12%,אפיקים,176
"196,080",12%,ארגמן,3598
"246,120",20%,ארז,714
"134,760",7%,אשבול,71
"134,760",7%,אשבל,1276
"196,080",12%,אשדות יעקב (איחוד),199
"196,080",12%,אשדות יעקב (מאוחד),188
"134,760",7%,אשחר,1188
"134,760",7%,אשכולות,3722
"165,360",10%,אשל הנשיא,2021
"134,760",7%,אשלים,1152
"134,760",7%,אשרת,1256
"196,080",12%,באר אורה,21
"196,080",12%,באר מילכה,1278
"246,120",20%,בארי,399
"134,760",7%,בוסתן הגליל,559
"196,080",12%,בוקעאתא,4001
"134,760",7%,בטחה,762
"196,080",12%,ביר הדאג',1348
"134,760",7%,בירייה,368
"238,920",14%,בית ג'ן,480
"134,760",7%,בית הגדי,723
"196,080",12%,בית הלל,322
"134,760",7%,בית העמק,572
"196,080",12%,בית הערבה,3645
"196,080",12%,בית זרע,143
"196,080",12%,בית יוסף,265
"134,760",7%,בית קמה,598
"196,080",12%,בית שאן,9200
"165,360",10%,בן עמי,712
"134,760",7%,בני יהודה,4015
"246,120",20%,בני נצרים,1363
"171,000",12%,בענה,483
"171,480",12%,בצת,589
"196,080",12%,בר יוחאי,1191
"246,120",20%,ברור חיל,428
"134,760",7%,ברוש,2060
"202,200",14%,ברעם,667
"171,000",12%,ג'דיידה-מכר,1292
"171,000",12%,ג'ולס,485
"238,920",14%,ג'ש (גוש חלב),487
"134,760",7%,גבולות,352
"246,120",20%,גבים,424
"134,760",7%,גבעולים,2014
"134,760",7%,גבעות בר,1344
"134,760",7%,גבעת יואב,4021
